id,COUNTYFP,CountyID,NAME,Erosion,NonErosion,CornNoTill,SoyNoTill,CornSyNoTill,CornConvTill,SoyConvTill,PercentCCResidue
67,133,133,Monroe,0.2,99.8,2.4,20.3,11.35,9.6,11.6,5.7
68,135,135,Montgomery,0,100,2.1,21.3,11.7,73.7,10.6,2.4
69,137,137,Morgan,1.3,98.7,15.4,33.5,24.45,42,3.5,3
70,139,139,Moultrie,0,100,0.4,5.6,3,99.6,1.3,0
71,141,141,Ogle,15.6,84.4,10,28.7,19.35,36,5.6,1.5
72,143,143,Peoria,19.7,80.3,14.8,64.3,39.55,5.7,1.3,1.1
73,145,145,Perry,31.6,68.4,37.1,65.6,51.35,5,7.9,2.8
74,147,147,Piatt,0,100,0.3,13.7,7,91.2,4.3,0
75,149,149,Pike,17.6,82.4,6.3,38.5,22.4,12.9,6.3,0.8
76,151,151,Pope,3.6,96.4,25.5,46,35.75,51.1,27,0
77,153,153,Pulaski,2,98,34.8,71.1,52.95,65.2,25.6,12.1
78,155,155,Putnam,3.8,96.2,36,29.1,32.55,0,0,11.3
79,157,157,Randolph,0.3,99.7,14.9,83.7,49.3,62.8,3.1,0
80,159,159,Richland,4.1,95.9,11.6,44,27.8,83.3,16,1.5
81,161,161,Rock_Island,1.3,98.7,47.9,71.6,59.75,8.3,1.2,1.3
82,165,165,Saline,10.8,89.2,26.9,63.1,45,43.5,13.7,2.2
83,167,167,Sangamon,0.8,99.2,2.5,15.7,9.1,81.6,26,0.6
84,169,169,Schuyler,2.9,97.1,12.9,42.5,27.7,77.1,8.6,1.9
85,171,171,Scott,8.1,91.9,29.4,60.4,44.9,12.3,0.5,1.3
86,173,173,Shelby,1.5,98.5,0,5.4,2.7,64.7,7.3,0.1
87,163,163,St_Clair,6,94,0.9,28,14.45,20.2,4.2,5.4
88,175,175,Stark,22.8,77.2,18.7,46.3,32.5,0,0,0.8
89,177,177,Stephenson,1.9,98.1,15.6,55.4,35.5,15.8,2.6,0.6
90,179,179,Tazewell,11.8,88.2,30.2,32.9,31.55,14.9,2.2,2.6
91,181,181,Union,24.8,75.2,13.9,60.7,37.3,47.2,21.4,7.5
92,183,183,Vermilion,1.7,98.3,0,4.1,2.05,86.6,15.5,1
93,185,185,Wabash,3.3,96.7,4.2,37.9,21.05,63,11.1,0.4
94,187,187,Warren,17.1,82.9,24.9,43.1,34,3.9,1.4,0
95,189,189,Washington,7,93,3.9,26.5,15.2,89.8,30.9,1.9
96,191,191,Wayne,14.4,85.6,15.3,56.9,36.1,59.7,19.9,2.3
97,193,193,White,46.2,53.8,30.6,66.4,48.5,50,11.2,2.8
98,195,195,Whiteside,42.2,57.8,12.7,38.2,25.45,17.8,4.1,4.5
99,197,197,Will,1.3,98.7,1.8,30.1,15.95,13,1.6,0.3
100,199,199,Williamson,14.3,85.7,18.5,37.5,28,55.6,22.5,5.8
101,201,201,Winnebago,5.9,94.1,33.7,52.8,43.25,9.6,0.8,1.4
102,203,203,Woodford,4.7,95.3,18.4,39.6,29,54.7,7.8,4.7
